ID,Age,Gender,Grade,Result
1,18,Other,High School,Good
2,18,Other,High School,Good
3,22,Male,High School,Good
4,17,Other,High School,Poor
5,,Other,High School,Good
6,25,Male,Undergraduate,Average
7,22,Other,High School,Poor
8,17,Male,High School,Good
9,16,Female,Undergraduate,Average
10,17,Female,High School,Average
11,,Other,Postgraduate,Poor
12,16,Male,High School,Good
13,16,Other,Postgraduate,Good
14,25,Other,Undergraduate,Poor
15,19,Other,Postgraduate,Average
16,20,Other,Undergraduate,Average
17,16,Other,Undergraduate,Poor
18,16,Male,Undergraduate,Good
19,,Other,Postgraduate,Poor
20,17,Other,Postgraduate,Poor
21,23,Male,Undergraduate,Good
22,19,Male,Undergraduate,Poor
23,18,Female,Postgraduate,Good
24,20,Male,High School,Poor
25,23,Male,Postgraduate,Good
26,18,Female,High School,Good
27,20,Female,Postgraduate,Average
28,24,Male,Undergraduate,Average
29,16,Female,Postgraduate,Good
30,23,Female,High School,Good
31,25,Male,High School,Average
32,19,Male,Postgraduate,Good
33,20,Male,Postgraduate,Poor
34,22,Male,Postgraduate,Average
35,17,Other,Undergraduate,Poor
36,21,Male,High School,Poor
37,22,Other,Undergraduate,Poor
38,18,Female,Undergraduate,Average
39,17,Other,Undergraduate,Average
40,,Other,Postgraduate,Average
41,19,Other,Postgraduate,Average
42,21,Other,Postgraduate,Poor
43,16,Other,High School,Poor
44,18,Male,High School,Good
45,22,Male,High School,Average
46,18,Female,High School,Good
47,20,Female,Undergraduate,Average
48,20,Male,High School,Average
49,22,Other,High School,Good
50,19,Female,Undergraduate,Good
51,16,Other,Postgraduate,Average
52,22,Other,Undergraduate,Poor
53,20,Female,Undergraduate,Poor
54,23,Female,High School,Average
55,22,Female,Postgraduate,Average
56,23,Other,Undergraduate,Average
57,17,Other,Undergraduate,Poor
58,21,Male,High School,Good
59,23,Female,Undergraduate,Average
60,25,Male,Postgraduate,Good
61,18,Other,Undergraduate,Average
62,20,Male,Postgraduate,Good
63,24,Other,Postgraduate,Average
64,17,Male,Undergraduate,Average
65,18,Male,High School,Good
66,17,Female,Postgraduate,Good
67,17,Male,High School,Poor
68,19,Male,Undergraduate,Poor
69,21,Female,High School,Poor
70,25,Female,High School,Poor
71,16,Other,Undergraduate,Poor
72,24,Male,Postgraduate,Average
73,17,Female,Undergraduate,Good
74,22,Male,High School,Poor
75,19,Other,High School,Good
76,19,Male,High School,Good
77,21,Male,Postgraduate,Poor
78,25,Other,Postgraduate,Average
79,23,Other,Postgraduate,Average
80,25,Male,Postgraduate,Average
81,,Other,Undergraduate,Average
82,19,Other,Undergraduate,Poor
83,19,Other,Undergraduate,Average
84,19,Other,Postgraduate,Poor
85,24,Other,High School,Poor
86,22,Other,High School,Good
87,25,Female,Postgraduate,Good
88,23,Other,Postgraduate,Average
89,22,Female,Postgraduate,Good
90,19,Other,Undergraduate,Good
91,25,Female,Postgraduate,Average
92,22,Male,Undergraduate,Good
93,22,Other,High School,Good
94,22,Female,High School,Poor
95,17,Male,Undergraduate,Average
96,19,Other,Undergraduate,Average
97,20,Male,High School,Poor
98,19,Male,Postgraduate,Average
99,17,Other,Undergraduate,Poor
100,16,Male,High School,Average
101,21,Male,Undergraduate,Average
102,24,Other,High School,Good
103,22,Male,High School,Average
104,24,Other,High School,Good
105,25,Other,Postgraduate,Poor
106,17,Male,High School,Average
107,16,Other,Undergraduate,Average
108,19,Male,High School,Poor
109,17,Other,High School,Average
110,19,Other,High School,Poor
111,20,Female,High School,Good
112,23,Other,Postgraduate,Good
113,22,Male,High School,Average
114,17,Other,Undergraduate,Good
115,20,Other,Undergraduate,Poor
116,19,Female,Undergraduate,Good
117,19,Female,High School,Poor
118,23,Other,Postgraduate,Poor
119,22,Female,Postgraduate,Poor
120,24,Female,Postgraduate,Poor
121,22,Other,High School,Good
122,20,Male,Postgraduate,Average
123,20,Female,Postgraduate,Average
124,23,Female,Undergraduate,Poor
125,16,Female,High School,Good
126,16,Other,High School,Good
127,25,Female,Postgraduate,Poor
128,24,Male,Undergraduate,Average
129,24,Female,High School,Average
130,20,Female,High School,Average
131,24,Other,High School,Average
132,22,Male,Undergraduate,Good
133,17,Female,Undergraduate,Poor
134,22,Female,Undergraduate,Average
135,24,Other,Postgraduate,Good
136,23,Male,Undergraduate,Average
137,25,Other,Postgraduate,Average
138,17,Other,Postgraduate,Poor
139,23,Female,High School,Poor
140,17,Male,Undergraduate,Good
141,23,Other,Undergraduate,Average
142,25,Other,Undergraduate,Average
143,24,Male,High School,Average
144,23,Other,Postgraduate,Poor
145,17,Male,High School,Good
146,19,Male,Undergraduate,Average
147,17,Other,Postgraduate,Good
148,24,Other,Undergraduate,Poor
149,23,Other,High School,Average
150,21,Other,Undergraduate,Average
151,17,Female,Postgraduate,Good
152,18,Male,High School,Average
153,21,Other,Undergraduate,Good
154,18,Other,Undergraduate,Poor
155,18,Female,High School,Good
156,25,Female,Postgraduate,Average
157,19,Other,Postgraduate,Good
158,18,Female,Postgraduate,Poor
159,22,Female,Undergraduate,Average
160,23,Male,Undergraduate,Poor
161,25,Female,High School,Average
162,17,Other,Postgraduate,Average
163,19,Male,High School,Good
164,24,Other,Postgraduate,Good
165,19,Male,Postgraduate,Good
166,23,Other,Undergraduate,Good
167,25,Other,Postgraduate,Average
168,25,Female,Postgraduate,Good
169,19,Male,Postgraduate,Good
170,19,Female,Postgraduate,Good
171,21,Other,Postgraduate,Average
172,22,Other,High School,Average
173,16,Other,Undergraduate,Average
174,24,Other,High School,Poor
175,23,Female,Undergraduate,Poor
176,23,Female,Postgraduate,Poor
177,20,Other,High School,Average
178,20,Male,Undergraduate,Poor
179,21,Male,Postgraduate,Good
180,16,Other,Postgraduate,Good
181,24,Male,Postgraduate,Average
182,25,Male,High School,Poor
183,18,Female,Undergraduate,Average
184,21,Female,Postgraduate,Good
185,17,Female,Undergraduate,Average
186,21,Other,High School,Poor
187,25,Other,Undergraduate,Average
188,18,Other,High School,Average
189,20,Other,Postgraduate,Good
190,19,Other,Postgraduate,Poor
191,16,Other,High School,Good
192,19,Other,High School,Poor
193,23,Female,Postgraduate,Average
194,23,Female,Undergraduate,Poor
195,18,Female,Postgraduate,Good
196,21,Female,Postgraduate,Poor
197,17,Other,High School,Poor
198,23,Male,Undergraduate,Poor
199,21,Other,Postgraduate,Good
200,25,Male,Undergraduate,Poor
201,17,Other,High School,Good
202,18,Other,High School,Poor
203,24,Female,High School,Good
204,21,Male,High School,Average
205,16,Other,Postgraduate,Average
206,25,Male,Undergraduate,Average
207,19,Other,Undergraduate,Poor
208,19,Female,Postgraduate,Poor
209,19,Male,Postgraduate,Poor
210,17,Female,Undergraduate,Average
211,23,Male,High School,Good
212,22,Other,High School,Poor
213,19,Female,Postgraduate,Good
214,17,Female,Undergraduate,Average
215,23,Female,High School,Poor
216,18,Male,Undergraduate,Poor
217,22,Other,Postgraduate,Average
218,21,Male,Undergraduate,Poor
219,25,Other,High School,Good
220,24,Female,Postgraduate,Average
221,25,Female,High School,Good
222,20,Female,Postgraduate,Good
223,23,Other,Undergraduate,Average
224,24,Male,High School,Average
225,21,Other,High School,Average
226,25,Male,Postgraduate,Poor
227,18,Male,Undergraduate,Average
228,20,Female,Postgraduate,Poor
229,19,Male,Postgraduate,Good
230,19,Female,Postgraduate,Average
231,17,Female,Postgraduate,Poor
232,23,Female,Undergraduate,Good
233,24,Female,High School,Poor
234,21,Other,Undergraduate,Good
235,23,Other,Undergraduate,Average
236,23,Other,Postgraduate,Good
237,23,Female,Undergraduate,Poor
238,21,Other,Postgraduate,Average
239,16,Female,Postgraduate,Poor
240,16,Other,Postgraduate,Poor
241,24,Male,High School,Average
242,17,Female,Postgraduate,Good
243,16,Female,Postgraduate,Average
244,20,Other,High School,Poor
245,21,Female,Undergraduate,Good
246,20,Male,High School,Average
247,21,Female,High School,Good
248,16,Female,Postgraduate,Good
249,23,Other,Undergraduate,Poor
250,17,Female,Postgraduate,Poor
251,18,Male,High School,Poor
252,18,Male,Undergraduate,Good
253,23,Male,Postgraduate,Poor
